,Program,Project,Projectcode,Parentproject,StationName,StationCode,Datum,GeometryShape,SampleDate,CollectionTime,SamplingAgency,ProtocolCode,LocationCode,HydroModLoc,Hydromod,CollectionReplicate,CollectionMethodName,SampleType,PersonnelCode,SampleComments,BACollectionComments,CollectionDeviceName,LabSampleID,FinalID,Phylum,Class,Orders,Family,Genus,Species,LifeStageName,DistinctOrganism,Counts,BAResult,Unit,TaxonomicQualifier,ExcludedTaxa,Comments,SieveSize,SieveSizeUnit,CollectionDepth,UnitCollectionDepth,GrabSize,UnitGrabSize,ResQualCode,ComplianceCode,county,county_fips,regional_board,rb_number,huc8,huc8_number,huc10,huc10_number,huc12,huc12_number,waterbody_type,SampleID,geometry,Subregion,
178,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Deer Creek downstream of Minnesota Ave,DCN02,WGS84,NA,4/22/2019,1899-12-31 12:20:00,American Rivers,SWAMP_2016_WS,X,US,Culvert,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; No cobbles encountered; Densiometer readings of bank vegetation, no trees",NA,D-Frame Kick Net,3981,Tanypodinae,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,Larva,0,NA,3,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.714, 37.936),Confluence
179,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Deer Creek downstream of Minnesota Ave,DCN02,WGS84,NA,4/22/2019,1899-12-31 12:20:00,American Rivers,SWAMP_2016_WS,X,US,Culvert,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; No cobbles encountered; Densiometer readings of bank vegetation, no trees",NA,D-Frame Kick Net,3981,Tanytarsini,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,Larva,0,NA,57,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.714, 37.936),Confluence
180,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Creekside Park,MC13,WGS84,NA,4/23/2019,1899-12-31 15:00:00,American Rivers,SWAMP_2016_WS,X,NR,NR,1,BMI_Reach-WideBenthos,Integrated,0,NA,NA,D-Frame Kick Net,3982,Baetis,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,NA,Larva,0,NA,33,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.712, 37.923),Confluence
181,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Creekside Park,MC13,WGS84,NA,4/23/2019,1899-12-31 15:00:00,American Rivers,SWAMP_2016_WS,X,NR,NR,1,BMI_Reach-WideBenthos,Integrated,0,NA,NA,D-Frame Kick Net,3982,Gyraulus,Mollusca,Gastropoda,Basommatophora,Planorbidae,Gyraulus,NA,Undefined,0,NA,8,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.712, 37.923),Confluence
182,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Creekside Park,MC13,WGS84,NA,4/23/2019,1899-12-31 15:00:00,American Rivers,SWAMP_2016_WS,X,NR,NR,1,BMI_Reach-WideBenthos,Integrated,0,NA,NA,D-Frame Kick Net,3982,Helisoma,Mollusca,Gastropoda,Basommatophora,Planorbidae,Helisoma,NA,Undefined,0,NA,6,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.712, 37.923),Confluence
183,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Creekside Park,MC13,WGS84,NA,4/23/2019,1899-12-31 15:00:00,American Rivers,SWAMP_2016_WS,X,NR,NR,1,BMI_Reach-WideBenthos,Integrated,0,NA,NA,D-Frame Kick Net,3982,Hyalella,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,NA,Undefined,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.712, 37.923),Confluence
184,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Creekside Park,MC13,WGS84,NA,4/23/2019,1899-12-31 15:00:00,American Rivers,SWAMP_2016_WS,X,NR,NR,1,BMI_Reach-WideBenthos,Integrated,0,NA,NA,D-Frame Kick Net,3982,Oligochaeta,Annelida,Oligochaeta,NA,NA,NA,NA,Undefined,0,NA,286,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.712, 37.923),Confluence
185,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Creekside Park,MC13,WGS84,NA,4/23/2019,1899-12-31 15:00:00,American Rivers,SWAMP_2016_WS,X,NR,NR,1,BMI_Reach-WideBenthos,Integrated,0,NA,NA,D-Frame Kick Net,3982,Orthocladiinae,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,Larva,0,NA,32,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.712, 37.923),Confluence
186,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Creekside Park,MC13,WGS84,NA,4/23/2019,1899-12-31 15:00:00,American Rivers,SWAMP_2016_WS,X,NR,NR,1,BMI_Reach-WideBenthos,Integrated,0,NA,NA,D-Frame Kick Net,3982,Orthocladiinae,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,Pupa,0,NA,5,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.712, 37.923),Confluence
187,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Creekside Park,MC13,WGS84,NA,4/23/2019,1899-12-31 15:00:00,American Rivers,SWAMP_2016_WS,X,NR,NR,1,BMI_Reach-WideBenthos,Integrated,0,NA,NA,D-Frame Kick Net,3982,Ostracoda,Arthropoda,Ostracoda,NA,NA,NA,NA,Undefined,0,NA,112,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.712, 37.923),Confluence
188,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Creekside Park,MC13,WGS84,NA,4/23/2019,1899-12-31 15:00:00,American Rivers,SWAMP_2016_WS,X,NR,NR,1,BMI_Reach-WideBenthos,Integrated,0,NA,NA,D-Frame Kick Net,3982,Physa,Mollusca,Gastropoda,Basommatophora,Physidae,Physa,NA,Undefined,0,NA,141,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.712, 37.923),Confluence
189,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Creekside Park,MC13,WGS84,NA,4/23/2019,1899-12-31 15:00:00,American Rivers,SWAMP_2016_WS,X,NR,NR,1,BMI_Reach-WideBenthos,Integrated,0,NA,NA,D-Frame Kick Net,3982,Simulium,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,NA,Larva,0,NA,59,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.712, 37.923),Confluence
190,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Creekside Park,MC13,WGS84,NA,4/23/2019,1899-12-31 15:00:00,American Rivers,SWAMP_2016_WS,X,NR,NR,1,BMI_Reach-WideBenthos,Integrated,0,NA,NA,D-Frame Kick Net,3982,Simulium,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,NA,Pupa,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.712, 37.923),Confluence
191,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Creekside Park,MC13,WGS84,NA,4/23/2019,1899-12-31 15:00:00,American Rivers,SWAMP_2016_WS,X,NR,NR,1,BMI_Reach-WideBenthos,Integrated,0,NA,NA,D-Frame Kick Net,3982,Tanypodinae,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,Larva,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.712, 37.923),Confluence
192,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Creekside Park,MC13,WGS84,NA,4/23/2019,1899-12-31 15:00:00,American Rivers,SWAMP_2016_WS,X,NR,NR,1,BMI_Reach-WideBenthos,Integrated,0,NA,NA,D-Frame Kick Net,3982,Tanytarsini,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,Larva,0,NA,10,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.712, 37.923),Confluence
193,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3983,Chironomini,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,Larva,0,NA,2,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
194,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3983,Corixidae,Arthropoda,Insecta,Hemiptera,Corixidae,NA,NA,Larva,0,NA,3,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
195,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3983,Gyraulus,Mollusca,Gastropoda,Basommatophora,Planorbidae,Gyraulus,NA,Undefined,0,NA,2,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
196,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3983,Helisoma,Mollusca,Gastropoda,Basommatophora,Planorbidae,Helisoma,NA,Undefined,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
197,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3983,Hyalella,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,NA,Undefined,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
198,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3983,Menetus,Mollusca,Gastropoda,Basommatophora,Planorbidae,Menetus,NA,Undefined,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
199,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3983,Oligochaeta,Annelida,Oligochaeta,NA,NA,NA,NA,Undefined,0,NA,289,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
200,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3983,Orthocladiinae,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,Larva,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
201,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3983,Orthocladiinae,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,Pupa,0,NA,2,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
202,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3983,Ostracoda,Arthropoda,Ostracoda,NA,NA,NA,NA,Undefined,0,NA,138,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
203,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3983,Oxyethira,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Oxyethira,NA,Larva,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
204,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,1,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3983,Physa,Mollusca,Gastropoda,Basommatophora,Physidae,Physa,NA,Undefined,0,NA,345,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
205,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Baetis,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,NA,Larva,0,NA,10,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
206,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Callibaetis,Arthropoda,Insecta,Ephemeroptera,Baetidae,Callibaetis,NA,Larva,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
207,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Chironomini,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,Larva,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
208,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Corixidae,Arthropoda,Insecta,Hemiptera,Corixidae,NA,NA,Larva,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
209,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Fallceon,Arthropoda,Insecta,Ephemeroptera,Baetidae,Fallceon,NA,Larva,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
210,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Gyraulus,Mollusca,Gastropoda,Basommatophora,Planorbidae,Gyraulus,NA,Undefined,0,NA,2,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
211,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Helisoma,Mollusca,Gastropoda,Basommatophora,Planorbidae,Helisoma,NA,Undefined,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
212,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Menetus,Mollusca,Gastropoda,Basommatophora,Planorbidae,Menetus,NA,Undefined,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
213,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Oligochaeta,Annelida,Oligochaeta,NA,NA,NA,NA,Undefined,0,NA,383,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
214,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Orthocladiinae,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,Larva,0,NA,9,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
215,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Orthocladiinae,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,Pupa,0,NA,5,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
216,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Ostracoda,Arthropoda,Ostracoda,NA,NA,NA,NA,Undefined,0,NA,74,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
217,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Oxyethira,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Oxyethira,NA,Larva,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
218,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Oxyethira,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Oxyethira,NA,Pupa,0,NA,1,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
219,American Rivers Restoration,Three Creeks Restoration,3CREEKS,Marsh Creek Watershed,Marsh Ck. below Deer Ck,MC11,WGS84,NA,4/23/2019,1899-12-31 12:25:00,American Rivers,SWAMP_2016_WS,X,NA,None,2,BMI_Reach-WideBenthos,Integrated,0,"Salinity probe broken, re-collected on 6/21/2019; <25 cobbles",NA,D-Frame Kick Net,3984,Physa,Mollusca,Gastropoda,Basommatophora,Physidae,Physa,NA,Undefined,0,NA,183,count,None,NA,NA,0.5mm,0,NA,m,0.99,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,NULL,NA,c(-121.709, 37.936),Confluence
